mukey,muname,comppct_r,compname,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,cec7_r,awc_r,field_id
62661,"Conser silty clay loam, 0 to 3 percent slopes",3,Courtney,Poorly drained,122,152,0.35,5.8,3,95,2,3.1,0.01,WV_AG_012
62737,Malabon silty clay loam,90,Malabon,Well drained,0,30,5,6.1,31,20,49,25,0.19,WV_AG_012
62737,Malabon silty clay loam,90,Malabon,Well drained,30,107,2.25,6.2,41,7.9,51.1,25,0.19,WV_AG_012
62737,Malabon silty clay loam,90,Malabon,Well drained,107,152,0.25,6.7,27.5,34.7,37.8,15,0.19,WV_AG_012
64255,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,0,48,4,6.1,15,14,71,15,0.2,WV_AG_013
64255,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,48,137,1.75,6.1,27.5,7.1,65.4,15,0.2,WV_AG_013
64255,"Woodburn silt loam, 0 to 3 percent slopes",85,Woodburn,Moderately well drained,137,152,0.25,6.1,28,7.1,64.9,12.5,0.2,WV_AG_013
64255,"Woodburn silt loam, 0 to 3 percent slopes",3,Concord,Poorly drained,0,51,3,6.1,22.5,24.8,52.7,20,0.2,WV_AG_013
64255,"Woodburn silt loam, 0 to 3 percent slopes",3,Dayton,Poorly drained,0,23,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_013
64255,"Woodburn silt loam, 0 to 3 percent slopes",3,Dayton,Poorly drained,23,38,0.75,5.6,22.5,24.8,52.7,15,0.21,WV_AG_013
64255,"Woodburn silt loam, 0 to 3 percent slopes",3,Dayton,Poorly drained,38,102,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_013
64255,"Woodburn silt loam, 0 to 3 percent slopes",3,Concord,Poorly drained,51,102,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_013
64255,"Woodburn silt loam, 0 to 3 percent slopes",3,Concord,Poorly drained,102,183,0.25,6.7,25,24,51,20,0.2,WV_AG_013
